trial,heuristic,solved,depth,expanded,runtime_s,start_state
1,Hamming,1,17,1011,0.008604,7 3 2 1 4 0 5 8 6
2,Manhattan,1,17,207,0.001531,7 3 2 1 4 0 5 8 6
3,Hamming,1,20,3458,0.029468,1 6 2 3 7 4 5 8 0
4,Manhattan,1,20,493,0.004015,1 6 2 3 7 4 5 8 0
5,Hamming,1,21,6052,0.059058,2 3 8 7 1 0 5 4 6
6,Manhattan,1,21,1027,0.008473,2 3 8 7 1 0 5 4 6
7,Hamming,1,20,4031,0.042603,7 1 4 5 0 3 8 6 2
8,Manhattan,1,20,605,0.004723,7 1 4 5 0 3 8 6 2
9,Hamming,1,21,5282,0.044667,4 3 8 2 6 7 5 0 1
10,Manhattan,1,21,443,0.004460,4 3 8 2 6 7 5 0 1
11,Hamming,1,24,17286,0.161334,7 1 4 5 8 6 3 2 0
12,Manhattan,1,24,1396,0.017063,7 1 4 5 8 6 3 2 0
13,Hamming,1,22,7888,0.072942,7 3 0 1 8 4 2 6 5
14,Manhattan,1,22,705,0.006269,7 3 0 1 8 4 2 6 5
15,Hamming,1,26,36770,0.345465,5 8 7 1 6 2 3 4 0
16,Manhattan,1,26,1929,0.018485,5 8 7 1 6 2 3 4 0
17,Hamming,1,21,5838,0.052459,8 3 4 0 1 5 7 2 6
18,Manhattan,1,21,716,0.005299,8 3 4 0 1 5 7 2 6
19,Hamming,1,25,29244,0.261972,8 6 2 0 5 4 7 1 3
20,Manhattan,1,25,3241,0.026087,8 6 2 0 5 4 7 1 3
